	single_ID	Name_EMA	Approved_Europe	Name_PMDA	Approved_Japan	Name_Orange_Book	Approved_USA	Available_USA	ID_Label	Therapy_Name	Combination_Therapy	Ingredient_IDs
20	CHEBI:102484		FALSE		FALSE	SULFISOXAZOLE ACETYL	TRUE	DISCONTINUED	Sulfisoxazole	SULFISOXAZOLE ACETYL	FALSE	
21	CHEBI:102484		FALSE		FALSE	SULFISOXAZOLE	TRUE	DISCONTINUED	Sulfisoxazole	SULFISOXAZOLE	FALSE	
22	CHEBI:102524		FALSE		FALSE	BUTALBITAL	TRUE	UNSURE	Butalbital	BUTALBITAL	FALSE	
23	CHEBI:10304		FALSE		FALSE	LEVONORDEFRIN	TRUE	UNSURE	Levonordefrin	LEVONORDEFRIN	FALSE	
24	CHEBI:10650		FALSE		FALSE	SUMATRIPTAN	TRUE	RX	Sumatriptan	SUMATRIPTAN	FALSE	
25	CHEBI:10650		FALSE		FALSE	SUMATRIPTAN SUCCINATE	TRUE	RX	Sumatriptan	SUMATRIPTAN SUCCINATE	FALSE	
26	CHEBI:109549		FALSE	RAMELTEON	TRUE	RAMELTEON	TRUE	RX	Ramelteon	RAMELTEON	FALSE	
27	CHEBI:114203		FALSE		FALSE	PHENYL AMINOSALICYLATE	TRUE	DISCONTINUED	Phenyl aminosalicylate	PHENYL AMINOSALICYLATE	FALSE	
28	CHEBI:116278		FALSE		FALSE	LOMEFLOXACIN HYDROCHLORIDE	TRUE	DISCONTINUED	Lomefloxacin	LOMEFLOXACIN 	FALSE	
29	CHEBI:119486	EFAVIRENZ	TRUE		FALSE	EFAVIRENZ	TRUE	RX	Efavirenz	EFAVIRENZ	FALSE	
30	CHEBI:119573		FALSE		FALSE	DELAVIRDINE MESYLATE	TRUE	DISCONTINUED	Delavirdine	DELAVIRDINE 	FALSE	
31	CHEBI:124991		FALSE		FALSE	CEPHALOTHIN SODIUM	TRUE	DISCONTINUED	Cefalotin	CEPHALOTHIN 	FALSE	
32	CHEBI:125354	PLERIXAFOR	TRUE	PLERIXAFOR	TRUE	PLERIXAFOR	TRUE	RX	Plerixafor	PLERIXAFOR	FALSE	
33	CHEBI:127342		FALSE	ATOMOXETINE HYDROCHLORIDE	TRUE	ATOMOXETINE HYDROCHLORIDE	TRUE	RX	Atomoxetine	ATOMOXETINE	FALSE	
34	CHEBI:12777		FALSE		FALSE	VITAMIN A PALMITATE	TRUE	RX	Vitamin A	VITAMIN A PALMITATE	FALSE	
35	CHEBI:12777		FALSE		FALSE	VITAMIN A	TRUE	DISCONTINUED	Vitamin A	VITAMIN A	FALSE	
36	CHEBI:131169	DUVELISIB	TRUE		FALSE	DUVELISIB	TRUE	RX	Duvelisib	DUVELISIB	FALSE	
37	CHEBI:131527		FALSE		FALSE	"POTASSIUM PHOSPHATE, DIBASIC"	TRUE	UNSURE	Dipotassium phosphate	"POTASSIUM PHOSPHATE, DIBASIC"	FALSE	
38	CHEBI:131716		FALSE	GARENOXACIN MESILATE	TRUE		FALSE		Garenoxacin	GARENOXACIN	FALSE	
39	CHEBI:132153		FALSE	SODIUM HYALURONATE	TRUE		FALSE		hyaluronate	HYALURONATE	FALSE	
40	CHEBI:132268	DACOMITINIB	TRUE	DACOMITINIB HYDRATE	TRUE	DACOMITINIB	TRUE	RX	Dacomitinib	DACOMITINIB	FALSE	
41	CHEBI:132767		FALSE	FERRIC CITRATE HYDRATE	TRUE	FERRIC CITRATE	TRUE	RX	Ferric pyrophosphate	FERRIC	FALSE	
42	CHEBI:132767		FALSE	FERRIC CITRATE HYDRATE	TRUE	FERRIC PYROPHOSPHATE CITRATE	TRUE	DISCONTINUED	Ferric pyrophosphate	FERRIC|FERRIC PYROPHOSPHATE 	FALSE	
43	CHEBI:132774	ROXADUSTAT	TRUE	ROXADUSTAT	TRUE		FALSE		Roxadustat	ROXADUSTAT	FALSE	
44	CHEBI:132842		FALSE		FALSE	SULFAPYRIDINE	TRUE	DISCONTINUED	Sulfapyridine	SULFAPYRIDINE	FALSE	
45	CHEBI:132967	ELBASVIR	TRUE	ELBASVIR	TRUE	ELBASVIR	TRUE	UNSURE	Elbasvir	ELBASVIR	FALSE	
46	CHEBI:132975	GRAZOPREVIR	TRUE	GRAZOPREVIR HYDRATE	TRUE	GRAZOPREVIR	TRUE	UNSURE	Grazoprevir	GRAZOPREVIR	FALSE	
47	CHEBI:133009	VELPATASVIR	TRUE	VELPATASVIR	TRUE	VELPATASVIR	TRUE	UNSURE	Velpatasvir	VELPATASVIR	FALSE	
48	CHEBI:133011		FALSE		FALSE	OXYTETRACYCLINE HYDROCHLORIDE	TRUE	DISCONTINUED	oxytetracycline zwitterion	OXYTETRACYCLINE 	FALSE	
49	CHEBI:133011		FALSE		FALSE	OXYTETRACYCLINE CALCIUM	TRUE	DISCONTINUED	oxytetracycline zwitterion	OXYTETRACYCLINE 	FALSE	
50	CHEBI:133013	BRIVARACETAM	TRUE		FALSE	BRIVARACETAM	TRUE	RX	Brivaracetam	BRIVARACETAM	FALSE	
51	CHEBI:133014		FALSE		FALSE	PIMAVANSERIN TARTRATE	TRUE	RX	pimavanserin tartrate	PIMAVANSERIN 	FALSE	
52	CHEBI:133021	VENETOCLAX	TRUE	VENETOCLAX	TRUE	VENETOCLAX	TRUE	RX	Venetoclax	VENETOCLAX	FALSE	
53	CHEBI:133023		FALSE		FALSE	LIFITEGRAST	TRUE	RX	Lifitegrast	LIFITEGRAST	FALSE	
54	CHEBI:133809		FALSE		FALSE	ANISINDIONE	TRUE	DISCONTINUED	Anisindione	ANISINDIONE	FALSE	
55	CHEBI:133833		FALSE		FALSE	BENZNIDAZOLE	TRUE	RX	Benznidazole	BENZNIDAZOLE	FALSE	
56	CHEBI:134677		FALSE		FALSE	CRISABOROLE	TRUE	RX	Crisaborole	CRISABOROLE	FALSE	
57	CHEBI:134689	RUCAPARIB	TRUE		FALSE	RUCAPARIB CAMSYLATE	TRUE	RX	Rucaparib	RUCAPARIB|RUCAPARIB CAMSYLATE	FALSE	
58	CHEBI:134699	OPICAPONE	TRUE	OPICAPONE	TRUE	OPICAPONE	TRUE	RX	Opicapone	OPICAPONE	FALSE	
59	CHEBI:134700	ETELCALCETIDE	TRUE	ETELCALCETIDE HYDROCHLORIDE	TRUE	ETELCALCETIDE	TRUE	RX	Etelcalcetide	ETELCALCETIDE	FALSE	
60	CHEBI:134709	PITOLISANT	TRUE		FALSE	PITOLISANT HYDROCHLORIDE	TRUE	RX	Pitolisant	PITOLISANT	FALSE	
61	CHEBI:134714	SACUBITRIL	TRUE		FALSE	SACUBITRIL	TRUE	UNSURE	Sacubitril	SACUBITRIL	FALSE	
62	CHEBI:134716	BREXPIPRAZOLE	TRUE	BREXPIPRAZOLE	TRUE	BREXPIPRAZOLE	TRUE	RX	Brexpiprazole	BREXPIPRAZOLE	FALSE	
63	CHEBI:134718	SAFINAMIDE	TRUE	SAFINAMIDE MESILATE	TRUE	SAFINAMIDE MESYLATE	TRUE	RX	Safinamide	SAFINAMIDE	FALSE	
64	CHEBI:134719	CEFTOLOZANE	TRUE	CEFTOLOZANE	TRUE	CEFTOLOZANE SULFATE	TRUE	UNSURE	Ceftolozane	CEFTOLOZANE	FALSE	
65	CHEBI:134719	CEFTOLOZANE	TRUE	CEFTOLOZANE SULFATE	TRUE	CEFTOLOZANE SULFATE	TRUE	UNSURE	Ceftolozane	CEFTOLOZANE	FALSE	
66	CHEBI:134720		FALSE	IMIDAFENACIN	TRUE		FALSE		Imidafenacin	IMIDAFENACIN	FALSE	
67	CHEBI:134721		FALSE	CETILISTAT	TRUE		FALSE		Cetilistat	CETILISTAT	FALSE	
68	CHEBI:134722		FALSE	FAVIPIRAVIR	TRUE		FALSE		Favipiravir	FAVIPIRAVIR	FALSE	
69	CHEBI:134723		FALSE	ASUNAPREVIR	TRUE		FALSE		Asunaprevir	ASUNAPREVIR	FALSE	
70	CHEBI:134725		FALSE	LUSEOGLIFLOZIN HYDRATE	TRUE		FALSE		Luseogliflozin	LUSEOGLIFLOZIN	FALSE	
71	CHEBI:134726		FALSE	ISTRADEFYLLINE	TRUE	ISTRADEFYLLINE	TRUE	RX	Istradefylline	ISTRADEFYLLINE	FALSE	
72	CHEBI:134735		FALSE	OMARIGLIPTIN	TRUE		FALSE		Omarigliptin	OMARIGLIPTIN	FALSE	
73	CHEBI:134741		FALSE	LANINAMIVIR OCTANOATE HYDRATE	TRUE		FALSE		Laninamivir octanoate	LANINAMIVIR OCTANOATE	FALSE	
74	CHEBI:134742	DELAMANID	TRUE	DELAMANID	TRUE		FALSE		Delamanid	DELAMANID	FALSE	
75	CHEBI:134743		FALSE	SIMEPREVIR SODIUM	TRUE	SIMEPREVIR SODIUM	TRUE	DISCONTINUED	Simeprevir	SIMEPREVIR	FALSE	
76	CHEBI:134745	GLYCEROL PHENYLBUTYRATE	TRUE		FALSE	GLYCEROL PHENYLBUTYRATE	TRUE	RX	Glycerol phenylbutyrate	GLYCEROL PHENYLBUTYRATE	FALSE	
77	CHEBI:134751		FALSE		FALSE	AVOBENZONE	TRUE	UNSURE	Avobenzone	AVOBENZONE	FALSE	
78	CHEBI:134923		FALSE		FALSE	TALBUTAL	TRUE	DISCONTINUED	Talbutal	TALBUTAL	FALSE	
79	CHEBI:134936		FALSE		FALSE	PEMIROLAST POTASSIUM	TRUE	DISCONTINUED	Pemirolast	PEMIROLAST 	FALSE	
80	CHEBI:134964		FALSE	PERFLUBUTANE	TRUE		FALSE		Perflubutane	PERFLUBUTANE	FALSE	
81	CHEBI:134966	RUFINAMIDE	TRUE	RUFINAMIDE	TRUE	RUFINAMIDE	TRUE	RX	Rufinamide	RUFINAMIDE	FALSE	
82	CHEBI:134990	AGOMELATINE	TRUE		FALSE		FALSE		Agomelatine	AGOMELATINE	FALSE	
83	CHEBI:134991		FALSE		FALSE	FROVATRIPTAN SUCCINATE	TRUE	RX	Frovatriptan	FROVATRIPTAN SUCCINATE	FALSE	
84	CHEBI:135156		FALSE	RAMOSETRON HYDROCHLORIDE	TRUE		FALSE		Ramosetron	RAMOSETRON	FALSE	
85	CHEBI:135173		FALSE		FALSE	TAUROLIDINE	TRUE	UNSURE	Taurolidine	TAUROLIDINE	FALSE	
86	CHEBI:135230		FALSE		FALSE	SULFACYTINE	TRUE	DISCONTINUED	Sulfacytine	SULFACYTINE	FALSE	
87	CHEBI:135276		FALSE		FALSE	DIHYDROCODEINE BITARTRATE	TRUE	UNSURE	Dihydrocodeine	DIHYDROCODEINE 	FALSE	
88	CHEBI:135285	VILDAGLIPTIN	TRUE	VILDAGLIPTIN	TRUE		FALSE		Vildagliptin	VILDAGLIPTIN	FALSE	
89	CHEBI:135314		FALSE		FALSE	INDECAINIDE HYDROCHLORIDE	TRUE	DISCONTINUED	Indecainide	INDECAINIDE 	FALSE	
90	CHEBI:135349		FALSE	MITIGLINIDE CALCIUM HYDRATE	TRUE		FALSE		Mitiglinide	MITIGLINIDE	FALSE	
91	CHEBI:135349		FALSE	MITIGLINIDE CALCIUM HYDRATE; VOGLIBOSE	TRUE		FALSE		Mitiglinide	MITIGLINIDE; VOGLIBOSE	TRUE	"['CHEBI:135349', 'CHEBI:32300']"
92	CHEBI:135351	ROTIGOTINE	TRUE	ROTIGOTINE	TRUE	ROTIGOTINE	TRUE	RX	Rotigotine	ROTIGOTINE	FALSE	
93	CHEBI:135398	NORELGESTROMIN	TRUE		FALSE	NORELGESTROMIN	TRUE	UNSURE	Norelgestromin	NORELGESTROMIN	FALSE	
94	CHEBI:135413		FALSE		FALSE	PROTOKYLOL HYDROCHLORIDE	TRUE	DISCONTINUED	Protokylol	PROTOKYLOL 	FALSE	
95	CHEBI:135515		FALSE	BENDAMUSTINE HYDROCHLORIDE	TRUE	BENDAMUSTINE HYDROCHLORIDE	TRUE	RX	Bendamustine	BENDAMUSTINE	FALSE	
96	CHEBI:135526		FALSE		FALSE	OCTOCRYLENE	TRUE	UNSURE	Octocrylene	OCTOCRYLENE	FALSE	
97	CHEBI:135534		FALSE		FALSE	LAPYRIUM CHLORIDE	TRUE	UNSURE	Lapyrium	LAPYRIUM 	FALSE	
98	CHEBI:135552	PRUCALOPRIDE	TRUE		FALSE	PRUCALOPRIDE SUCCINATE	TRUE	RX	Prucalopride	PRUCALOPRIDE|PRUCALOPRIDE SUCCINATE	FALSE	
99	CHEBI:135566		FALSE		FALSE	RIMEXOLONE	TRUE	DISCONTINUED	Rimexolone	RIMEXOLONE	FALSE	
100	CHEBI:135573		FALSE		FALSE	MEPREDNISONE	TRUE	DISCONTINUED	Meprednisone	MEPREDNISONE	FALSE	
101	CHEBI:135613	REGADENOSON	TRUE		FALSE	REGADENOSON	TRUE	RX	Regadenoson	REGADENOSON	FALSE	
102	CHEBI:135622		FALSE		FALSE	BESIFLOXACIN HYDROCHLORIDE	TRUE	RX	Besifloxacin	BESIFLOXACIN 	FALSE	
103	CHEBI:135633		FALSE	BERAPROST SODIUM	TRUE		FALSE		Beraprost	BERAPROST	FALSE	
104	CHEBI:135651		FALSE		FALSE	SULFOXONE SODIUM	TRUE	DISCONTINUED	Sulfoxone	SULFOXONE 	FALSE	
105	CHEBI:135673		FALSE	RUPATADINE FUMARATE	TRUE		FALSE		Rupatadine	RUPATADINE	FALSE	
106	CHEBI:135679		FALSE		FALSE	LEVOCABASTINE HYDROCHLORIDE	TRUE	DISCONTINUED	Levocabastine	LEVOCABASTINE 	FALSE	
107	CHEBI:135686		FALSE		FALSE	ALVIMOPAN	TRUE	RX	Alvimopan	ALVIMOPAN	FALSE	
108	CHEBI:135694		FALSE	MOZAVAPTAN HYDROCHLORIDE	TRUE		FALSE		mozavaptan	MOZAVAPTAN	FALSE	
109	CHEBI:135720		FALSE		FALSE	DEFLAZACORT	TRUE	RX	Deflazacort	DEFLAZACORT	FALSE	
110	CHEBI:135738		FALSE		FALSE	CLEVIDIPINE	TRUE	RX	Clevidipine	CLEVIDIPINE	FALSE	
111	CHEBI:135752		FALSE		FALSE	TAFENOQUINE SUCCINATE	TRUE	RX	Tafenoquine	TAFENOQUINE SUCCINATE	FALSE	
112	CHEBI:135756		FALSE		FALSE	SPIRAPRIL HYDROCHLORIDE	TRUE	DISCONTINUED	Spirapril	SPIRAPRIL 	FALSE	
113	CHEBI:135765		FALSE	METHYLPREDNISOLONE SODIUM SUCCINATE	TRUE	METHYLPREDNISOLONE SODIUM SUCCINATE	TRUE	RX	Methylprednisolone hemisuccinate	METHYLPREDNISOLONE  SUCCINATE	FALSE	
114	CHEBI:135782		FALSE		FALSE	HALOBETASOL PROPIONATE	TRUE	RX	ulobetasol propionate	HALOBETASOL PROPIONATE	FALSE	
115	CHEBI:135791		FALSE		FALSE	PREDNICARBATE	TRUE	RX	Prednicarbate	PREDNICARBATE	FALSE	
116	CHEBI:135799		FALSE	TEBIPENEM PIVOXIL	TRUE		FALSE		Tebipenem pivoxil	TEBIPENEM PIVOXIL	FALSE	
117	CHEBI:135804		FALSE		FALSE	HEXAFLUORENIUM BROMIDE	TRUE	DISCONTINUED	Hexafluronium	HEXAFLUORENIUM 	FALSE	
118	CHEBI:135809		FALSE	LANDIOLOL HYDROCHLORIDE	TRUE		FALSE		Landiolol	LANDIOLOL	FALSE	
119	CHEBI:135815		FALSE	BETAMETHASONE BUTYRATE PROPIONATE	TRUE		FALSE		betamethasone butyrate propionate	BETAMETHASONE BUTYRATE PROPIONATE	FALSE	
120	CHEBI:135829		FALSE		FALSE	ALATROFLOXACIN MESYLATE	TRUE	DISCONTINUED	Alatrofloxacin	ALATROFLOXACIN 	FALSE	
121	CHEBI:135830		FALSE		FALSE	ECAMSULE	TRUE	UNSURE	Ecamsule	ECAMSULE	FALSE	
122	CHEBI:135845		FALSE		FALSE	RAPACURONIUM BROMIDE	TRUE	DISCONTINUED	Rapacuronium	RAPACURONIUM 	FALSE	
123	CHEBI:135875		FALSE	TALAPORFIN SODIUM	TRUE		FALSE		Talaporfin	TALAPORFIN	FALSE	
124	CHEBI:135876		FALSE		FALSE	VALRUBICIN	TRUE	RX	Valrubicin	VALRUBICIN	FALSE	
125	CHEBI:135888		FALSE		FALSE	PIMECROLIMUS	TRUE	RX	Pimecrolimus	PIMECROLIMUS	FALSE	
126	CHEBI:135890		FALSE	PRALMORELIN HYDROCHLORIDE	TRUE		FALSE		Pralmorelin	PRALMORELIN	FALSE	
127	CHEBI:135894		FALSE		FALSE	SARALASIN ACETATE	TRUE	DISCONTINUED	Saralasin	SARALASIN 	FALSE	
128	CHEBI:135899	ATOSIBAN	TRUE		FALSE		FALSE		Atosiban	ATOSIBAN	FALSE	
129	CHEBI:135901		FALSE	LANREOTIDE ACETATE	TRUE	LANREOTIDE ACETATE	TRUE	RX	lanreotide	LANREOTIDE	FALSE	
130	CHEBI:135905		FALSE		FALSE	TERLIPRESSIN ACETATE	TRUE	RX	Terlipressin	TERLIPRESSIN 	FALSE	
131	CHEBI:135906	MIFAMURTIDE	TRUE		FALSE		FALSE		mifamurtide	MIFAMURTIDE	FALSE	
132	CHEBI:135910	GANIRELIX	TRUE	GANIRELIX ACETATE	TRUE	GANIRELIX ACETATE	TRUE	RX	Ganirelix	GANIRELIX	FALSE	
133	CHEBI:135913		FALSE		FALSE	SECRETIN SYNTHETIC HUMAN	TRUE	RX	Secretin porcine	SECRETIN SYNTHETIC HUMAN	FALSE	
134	CHEBI:135918		FALSE	TUCIDINOSTAT	TRUE		FALSE		Tucidinostat	TUCIDINOSTAT	FALSE	
135	CHEBI:135919		FALSE		FALSE	NESIRITIDE	TRUE	DISCONTINUED	Nesiritide	NESIRITIDE	FALSE	
136	CHEBI:135920	FESOTERODINE	TRUE	FESOTERODINE FUMARATE	TRUE	FESOTERODINE FUMARATE	TRUE	RX	Fesoterodine	FESOTERODINE	FALSE	
137	CHEBI:135921	ARTENIMOL	TRUE		FALSE		FALSE		artenimol	ARTENIMOL	FALSE	
138	CHEBI:135922		FALSE		FALSE	PRAMLINTIDE ACETATE	TRUE	RX	Pramlintide	PRAMLINTIDE 	FALSE	
139	CHEBI:135923	MIGALASTAT	TRUE	MIGALASTAT HYDROCHLORIDE	TRUE	MIGALASTAT HYDROCHLORIDE	TRUE	RX	Migalastat	MIGALASTAT	FALSE	
140	CHEBI:135925		FALSE	LISDEXAMFETAMINE MESILATE	TRUE	LISDEXAMFETAMINE DIMESYLATE	TRUE	RX	Lisdexamfetamine	LISDEXAMFETAMINE|LISDEXAMFETAMINE DIMESYLATE	FALSE	
141	CHEBI:135928		FALSE	DORIPENEM HYDRATE	TRUE	DORIPENEM	TRUE	DISCONTINUED	Doripenem	DORIPENEM	FALSE	
142	CHEBI:135929	SILODOSIN	TRUE	SILODOSHIN	TRUE	SILODOSIN	TRUE	RX	Silodosin	SILODOSIN|SILODOSHIN|SILODOSIN	FALSE	
143	CHEBI:135931		FALSE		FALSE	DEXLANSOPRAZOLE	TRUE	RX	Dexlansoprazole	DEXLANSOPRAZOLE	FALSE	
144	CHEBI:135934		FALSE		FALSE	SELENIUM SULFIDE	TRUE	RX	Selenium Sulfide	SELENIUM SULFIDE	FALSE	
145	CHEBI:135935		FALSE	TAPENTADOL HYDROCHLORIDE	TRUE	TAPENTADOL HYDROCHLORIDE	TRUE	RX	Tapentadol	TAPENTADOL	FALSE	
146	CHEBI:135939	LACOSAMIDE	TRUE	LACOSAMIDE	TRUE	LACOSAMIDE	TRUE	RX	Lacosamide	LACOSAMIDE	FALSE	
147	CHEBI:135947	BAZEDOXIFENE	TRUE	BAZEDOXIFENE ACETATE	TRUE	BAZEDOXIFENE ACETATE	TRUE	UNSURE	Bazedoxifene	BAZEDOXIFENE	FALSE	
148	CHEBI:135948	AMIFAMPRIDINE	TRUE		FALSE	AMIFAMPRIDINE PHOSPHATE	TRUE	RX	Amifampridine	AMIFAMPRIDINE	FALSE	
149	CHEBI:135949	AMBRISENTAN	TRUE	AMBRISENTAN	TRUE	AMBRISENTAN	TRUE	RX	Ambrisentan	AMBRISENTAN	FALSE	
150	CHEBI:135954		FALSE	BILASTINE	TRUE		FALSE		Bilastine	BILASTINE	FALSE	
151	CHEBI:135957	VOCLOSPORIN	TRUE		FALSE	VOCLOSPORIN	TRUE	RX	Voclosporin	VOCLOSPORIN	FALSE	
152	CHEBI:135961	DEGARELIX	TRUE	DEGARELIX ACETATE	TRUE	DEGARELIX ACETATE	TRUE	RX	Degarelix	DEGARELIX	FALSE	
153	CHEBI:135968		FALSE		FALSE	CEFTOBIPROLE MEDOCARIL SODIUM	TRUE	RX	Ceftobiprole medocaril	CEFTOBIPROLE MEDOCARIL 	FALSE	
154	CHEBI:135983	TERIPARATIDE	TRUE	TERIPARATIDE	TRUE	TERIPARATIDE	TRUE	RX	Teriparatide	TERIPARATIDE	FALSE	
155	CHEBI:135983	TERIPARATIDE	TRUE	TERIPARATIDE	TRUE	TERIPARATIDE ACETATE	TRUE	DISCONTINUED	Teriparatide	TERIPARATIDE	FALSE	
156	CHEBI:135983	TERIPARATIDE	TRUE	TERIPARATIDE  [TERIPARATIDE BIOSIMILAR 1]	TRUE	TERIPARATIDE	TRUE	RX	Teriparatide	TERIPARATIDE|TERIPARATIDE [TERIPARATIDE BIOSIMILAR 1]|TERIPARATIDE	FALSE	
157	CHEBI:135983	TERIPARATIDE	TRUE	TERIPARATIDE  [TERIPARATIDE BIOSIMILAR 1]	TRUE	TERIPARATIDE ACETATE	TRUE	DISCONTINUED	Teriparatide	TERIPARATIDE|TERIPARATIDE [TERIPARATIDE BIOSIMILAR 1]|TERIPARATIDE 	FALSE	
158	CHEBI:135990		FALSE		FALSE	GEPIRONE HYDROCHLORIDE	TRUE	DISCONTINUED	Gepirone	GEPIRONE 	FALSE	
159	CHEBI:136007	METHYLNALTREXONE BROMIDE	TRUE		FALSE	METHYLNALTREXONE BROMIDE	TRUE	RX	methylnaltrexone	METHYLNALTREXONE	FALSE	
160	CHEBI:136019		FALSE	NALFURAFINE HYDROCHLORIDE	TRUE		FALSE		Nalfurafine	NALFURAFINE	FALSE	
161	CHEBI:136034	AFAMELANOTIDE	TRUE		FALSE	AFAMELANOTIDE	TRUE	RX	Afamelanotide	AFAMELANOTIDE	FALSE	
162	CHEBI:136041		FALSE	TOFOGLIFLOZIN HYDRATE	TRUE		FALSE		Tofogliflozin	TOFOGLIFLOZIN	FALSE	
163	CHEBI:136043		FALSE	ANAGLIPTIN	TRUE		FALSE		Anagliptin	ANAGLIPTIN	FALSE	
164	CHEBI:136046		FALSE	RIPASUDIL HYDROCHLORIDE HYDRATE	TRUE		FALSE		Ripasudil	RIPASUDIL	FALSE	
165	CHEBI:136047		FALSE	VANIPREVIR	TRUE		FALSE		Vaniprevir	VANIPREVIR	FALSE	
166	CHEBI:136048		FALSE	VONOPRAZAN FUMARATE	TRUE	VONOPRAZAN FUMARATE	TRUE	RX	Vonoprazan	VONOPRAZAN	FALSE	
167	CHEBI:136050		FALSE	OZENOXACIN	TRUE	OZENOXACIN	TRUE	RX	Ozenoxacin	OZENOXACIN	FALSE	
168	CHEBI:136051	LUSUTROMBOPAG	TRUE	LUSUTROMBOPAG	TRUE	LUSUTROMBOPAG	TRUE	RX	Lusutrombopag	LUSUTROMBOPAG	FALSE	
169	CHEBI:138865		FALSE		FALSE	MAVORIXAFOR	TRUE	RX	Mavorixafor	MAVORIXAFOR	FALSE	
170	CHEBI:140376	CEFIDEROCOL	TRUE	CEFIDEROCOL TOSILATE SULFATE HYDRATE	TRUE	CEFIDEROCOL SULFATE TOSYLATE	TRUE	RX	Cefiderocol	CEFIDEROCOL|CEFIDEROCOL TOSILATE|CEFIDEROCOL  TOSYLATE	FALSE	
171	CHEBI:140421		FALSE		FALSE	BETRIXABAN	TRUE	DISCONTINUED	Betrixaban	BETRIXABAN	FALSE	
172	CHEBI:140628		FALSE		FALSE	SECNIDAZOLE	TRUE	RX	Secnidazole	SECNIDAZOLE	FALSE	
173	CHEBI:141474		FALSE		FALSE	MALATHION	TRUE	RX	Malathion	MALATHION	FALSE	
174	CHEBI:141517		FALSE		FALSE	TYLOXAPOL	TRUE	UNSURE	Tyloxapol	TYLOXAPOL	FALSE	
175	CHEBI:142406	ZICONOTIDE	TRUE		FALSE	ZICONOTIDE ACETATE	TRUE	RX	omega-conotoxin MVIIA	ZICONOTIDE	FALSE	
176	CHEBI:142418		FALSE	VIBEGRON	TRUE	VIBEGRON	TRUE	RX	Vibegron	VIBEGRON	FALSE	
177	CHEBI:142432	VERICIGUAT	TRUE	VERICIGUAT	TRUE	VERICIGUAT	TRUE	RX	Vericiguat	VERICIGUAT	FALSE	
178	CHEBI:142773	ESTETROL	TRUE		FALSE	ESTETROL	TRUE	UNSURE	Estetrol	ESTETROL	FALSE	
