	Unnamed: 0_x	single_ID	ID_Label_x	Name_EMA	Therapy_Name_x	Approved_Europe	Combination_Therapy_x	Ingredient_IDs_x	Unnamed: 0_y	Name_PMDA	Therapy_Name_y	ID_Label_y	Approved_Japan	Combination_Therapy_y	Ingredient_IDs_y	Unnamed: 0	ID_Label	Name_Orange_Book	Therapy_Name	Approved_USA	Combination_Therapy	Ingredient_IDs	Available_USA
44		CHEBI:133023														1897.0	Lifitegrast	LIFITEGRAST	LIFITEGRAST	True	False		RX
45		CHEBI:133326														137.0	Barium sulfate	BARIUM SULFATE	BARIUM 	True	False		RX
46		CHEBI:133809														1194.0	Anisindione	ANISINDIONE	ANISINDIONE	True	False		DISCONTINUED
47		CHEBI:133833														2304.0	Benznidazole	BENZNIDAZOLE	BENZNIDAZOLE	True	False		RX
48		CHEBI:134677														2078.0	Crisaborole	CRISABOROLE	CRISABOROLE	True	False		RX
49	786.0	CHEBI:134689	Rucaparib	RUCAPARIB	RUCAPARIB	True	False									2138.0	Rucaparib	RUCAPARIB CAMSYLATE	RUCAPARIB CAMSYLATE	True	False		RX
50	709.0	CHEBI:134699	Opicapone	OPICAPONE	OPICAPONE	True	False		593.0	OPICAPONE	OPICAPONE	Opicapone	True	False		2465.0	Opicapone	OPICAPONE	OPICAPONE	True	False		RX
51	808.0	CHEBI:134700	Etelcalcetide	ETELCALCETIDE	ETELCALCETIDE	True	False		478.0	ETELCALCETIDE HYDROCHLORIDE	ETELCALCETIDE	Etelcalcetide	True	False		822.0	Etelcalcetide	ETELCALCETIDE	ETELCALCETIDE	True	False		RX
52	515.0	CHEBI:134709	Pitolisant	PITOLISANT	PITOLISANT	True	False									2064.0	Pitolisant	PITOLISANT HYDROCHLORIDE	PITOLISANT 	True	False		RX
53	900.0	CHEBI:134714	Sacubitril	SACUBITRIL	SACUBITRIL	True	False									2541.0	Sacubitril	SACUBITRIL	SACUBITRIL	True	False		UNSURE
54	292.0	CHEBI:134716	Brexpiprazole	BREXPIPRAZOLE	BREXPIPRAZOLE	True	False		286.0	BREXPIPRAZOLE	BREXPIPRAZOLE	Brexpiprazole	True	False		669.0	Brexpiprazole	BREXPIPRAZOLE	BREXPIPRAZOLE	True	False		RX
55	305.0	CHEBI:134718	Safinamide	SAFINAMIDE	SAFINAMIDE	True	False		833.0	SAFINAMIDE MESILATE	SAFINAMIDE	Safinamide	True	False		1559.0	Safinamide	SAFINAMIDE MESYLATE	SAFINAMIDE 	True	False		RX
56	918.0	CHEBI:134719	Ceftolozane	CEFTOLOZANE	CEFTOLOZANE	True	False		1209.0	CEFTOLOZANE	CEFTOLOZANE	Ceftolozane	True	False									
57	918.0	CHEBI:134719	Ceftolozane	CEFTOLOZANE	CEFTOLOZANE	True	False		1263.0	CEFTOLOZANE SULFATE	CEFTOLOZANE	Ceftolozane	True	False									
58		CHEBI:134720							697.0	IMIDAFENACIN	IMIDAFENACIN	Imidafenacin	True	False									
59		CHEBI:134721							1081.0	CETILISTAT	CETILISTAT	Cetilistat	True	False									
60		CHEBI:134722							985.0	FAVIPIRAVIR	FAVIPIRAVIR	Favipiravir	True	False									
61		CHEBI:134723							1276.0	ASUNAPREVIR	ASUNAPREVIR	Asunaprevir	True	False									
62		CHEBI:134725							1079.0	LUSEOGLIFLOZIN HYDRATE	LUSEOGLIFLOZIN	Luseogliflozin	True	False									
63		CHEBI:134726							630.0	ISTRADEFYLLINE	ISTRADEFYLLINE	Istradefylline	True	False		783.0	Istradefylline	ISTRADEFYLLINE	ISTRADEFYLLINE	True	False		RX
64		CHEBI:134735							447.0	OMARIGLIPTIN	OMARIGLIPTIN	Omarigliptin	True	False									
65		CHEBI:134741							494.0	LANINAMIVIR OCTANOATE HYDRATE	LANINAMIVIR OCTANOATE	Laninamivir octanoate	True	False									
66	479.0	CHEBI:134742	Delamanid	DELAMANID	DELAMANID	True	False		859.0	DELAMANID	DELAMANID	Delamanid	True	False									
67		CHEBI:134743							317.0	SIMEPREVIR SODIUM	SIMEPREVIR	Simeprevir	True	False									
68	210.0	CHEBI:134745	Glycerol phenylbutyrate	GLYCEROL PHENYLBUTYRATE	GLYCEROL PHENYLBUTYRATE	True	False									706.0	Glycerol phenylbutyrate	GLYCEROL PHENYLBUTYRATE	GLYCEROL PHENYLBUTYRATE	True	False		RX
69		CHEBI:134751														2573.0	Avobenzone	AVOBENZONE	AVOBENZONE	True	False		UNSURE
70		CHEBI:134923														796.0	Talbutal	TALBUTAL	TALBUTAL	True	False		DISCONTINUED
71		CHEBI:134964							77.0	PERFLUBUTANE	PERFLUBUTANE	Perflubutane	True	False									
72	243.0	CHEBI:134966	Rufinamide	RUFINAMIDE	RUFINAMIDE	True	False		1152.0	RUFINAMIDE	RUFINAMIDE	Rufinamide	True	False		1174.0	Rufinamide	RUFINAMIDE	RUFINAMIDE	True	False		RX
73	282.0	CHEBI:134990	Agomelatine	AGOMELATINE	AGOMELATINE	True	False																
74		CHEBI:134991														2277.0	Frovatriptan	FROVATRIPTAN SUCCINATE	FROVATRIPTAN SUCCINATE	True	False		RX
75		CHEBI:135156							582.0	RAMOSETRON HYDROCHLORIDE	RAMOSETRON	Ramosetron	True	False									
76		CHEBI:135173														2699.0	Taurolidine	TAUROLIDINE	TAUROLIDINE	True	False		UNSURE
77		CHEBI:135230														1371.0	Sulfacytine	SULFACYTINE	SULFACYTINE	True	False		DISCONTINUED
78		CHEBI:135276														2613.0	Dihydrocodeine	DIHYDROCODEINE BITARTRATE	DIHYDROCODEINE 	True	False		UNSURE
79	641.0	CHEBI:135285	Vildagliptin	VILDAGLIPTIN	VILDAGLIPTIN	True	False		587.0	VILDAGLIPTIN	VILDAGLIPTIN	Vildagliptin	True	False									
80		CHEBI:135349							448.0	MITIGLINIDE CALCIUM HYDRATE; VOGLIBOSE	MITIGLINIDE; VOGLIBOSE	Mitiglinide	True	True	['CHEBI:135349', 'CHEBI:32300']								
81		CHEBI:135349							1089.0	MITIGLINIDE CALCIUM HYDRATE	MITIGLINIDE	Mitiglinide	True	False									
82	230.0	CHEBI:135351	Rotigotine	ROTIGOTINE	ROTIGOTINE	True	False		507.0	ROTIGOTINE	ROTIGOTINE	Rotigotine	True	False		1388.0	Rotigotine	ROTIGOTINE	ROTIGOTINE	True	False		RX
83	979.0	CHEBI:135398	Norelgestromin	NORELGESTROMIN	NORELGESTROMIN	True	False									2615.0	Norelgestromin	NORELGESTROMIN	NORELGESTROMIN	True	False		UNSURE
84		CHEBI:135515							415.0	BENDAMUSTINE HYDROCHLORIDE	BENDAMUSTINE	Bendamustine	True	False		1141.0	Bendamustine	BENDAMUSTINE HYDROCHLORIDE	BENDAMUSTINE 	True	False		RX
85		CHEBI:135526														2575.0	Octocrylene	OCTOCRYLENE	OCTOCRYLENE	True	False		UNSURE
86	238.0	CHEBI:135552	Prucalopride	PRUCALOPRIDE	PRUCALOPRIDE	True	False									2027.0	Prucalopride	PRUCALOPRIDE SUCCINATE	PRUCALOPRIDE SUCCINATE	True	False		RX
87		CHEBI:135563														2523.0	Segesterone acetate	SEGESTERONE ACETATE	SEGESTERONE 	True	False		UNSURE
88		CHEBI:135566														2107.0	Rimexolone	RIMEXOLONE	RIMEXOLONE	True	False		DISCONTINUED
89		CHEBI:135573														115.0	Meprednisone	MEPREDNISONE	MEPREDNISONE	True	False		DISCONTINUED
90	388.0	CHEBI:135613	Regadenoson	REGADENOSON	REGADENOSON	True	False									1751.0	Regadenoson	REGADENOSON	REGADENOSON	True	False		RX
91		CHEBI:135633							698.0	BERAPROST SODIUM	BERAPROST	Beraprost	True	False									
92		CHEBI:135673							700.0	RUPATADINE FUMARATE	RUPATADINE	Rupatadine	True	False									
93		CHEBI:135686														478.0	Alvimopan	ALVIMOPAN	ALVIMOPAN	True	False		RX
94		CHEBI:135694							1073.0	MOZAVAPTAN HYDROCHLORIDE	MOZAVAPTAN	mozavaptan	True	False									
95		CHEBI:135720														1243.0	Deflazacort	DEFLAZACORT	DEFLAZACORT	True	False		RX
96		CHEBI:135738														945.0	Clevidipine	CLEVIDIPINE	CLEVIDIPINE	True	False		RX
97		CHEBI:135752														1745.0	Tafenoquine	TAFENOQUINE SUCCINATE	TAFENOQUINE SUCCINATE	True	False		RX
98		CHEBI:135765							293.0	METHYLPREDNISOLONE SODIUM SUCCINATE	METHYLPREDNISOLONE  SUCCINATE	Methylprednisolone hemisuccinate	True	False									
99		CHEBI:135782														795.0	ulobetasol propionate	HALOBETASOL PROPIONATE	HALOBETASOL PROPIONATE	True	False		RX
100		CHEBI:135791														517.0	Prednicarbate	PREDNICARBATE	PREDNICARBATE	True	False		RX
101		CHEBI:135799							1167.0	TEBIPENEM PIVOXIL	TEBIPENEM PIVOXIL	Tebipenem pivoxil	True	False									
102		CHEBI:135809							1085.0	LANDIOLOL HYDROCHLORIDE	LANDIOLOL	Landiolol	True	False									
103		CHEBI:135815							1291.0	BETAMETHASONE BUTYRATE PROPIONATE	BETAMETHASONE BUTYRATE PROPIONATE	betamethasone butyrate propionate	True	False									
104		CHEBI:135830														2574.0	Ecamsule	ECAMSULE	ECAMSULE	True	False		UNSURE
105		CHEBI:135875							361.0	TALAPORFIN SODIUM	TALAPORFIN	Talaporfin	True	False									
106		CHEBI:135876														884.0	Valrubicin	VALRUBICIN	VALRUBICIN	True	False		RX
107		CHEBI:135888														659.0	Pimecrolimus	PIMECROLIMUS	PIMECROLIMUS	True	False		RX
108		CHEBI:135890							49.0	PRALMORELIN HYDROCHLORIDE	PRALMORELIN	Pralmorelin	True	False									
109	622.0	CHEBI:135899	Atosiban	ATOSIBAN	ATOSIBAN	True	False																
110		CHEBI:135901							289.0	LANREOTIDE ACETATE	LANREOTIDE	lanreotide	True	False		920.0	lanreotide	LANREOTIDE ACETATE	LANREOTIDE 	True	False		RX
111		CHEBI:135905														1379.0	Terlipressin	TERLIPRESSIN ACETATE	TERLIPRESSIN 	True	False		RX
112	778.0	CHEBI:135906	mifamurtide	MIFAMURTIDE	MIFAMURTIDE	True	False																
113	642.0	CHEBI:135910	Ganirelix	GANIRELIX	GANIRELIX	True	False		174.0	GANIRELIX ACETATE	GANIRELIX	Ganirelix	True	False		1118.0	Ganirelix	GANIRELIX ACETATE	GANIRELIX 	True	False		RX
114		CHEBI:135913														1153.0	Secretin porcine	SECRETIN SYNTHETIC HUMAN	SECRETIN SYNTHETIC HUMAN	True	False		RX
115		CHEBI:135918							382.0	TUCIDINOSTAT	TUCIDINOSTAT	Tucidinostat	True	False									
116		CHEBI:135919														1332.0	Nesiritide	NESIRITIDE	NESIRITIDE	True	False		DISCONTINUED
117	540.0	CHEBI:135920	Fesoterodine	FESOTERODINE	FESOTERODINE	True	False		1028.0	FESOTERODINE FUMARATE	FESOTERODINE	Fesoterodine	True	False		2338.0	Fesoterodine	FESOTERODINE FUMARATE	FESOTERODINE 	True	False		RX
118	969.0	CHEBI:135921	artenimol	ARTENIMOL	ARTENIMOL	True	False																
119	251.0	CHEBI:135923	Migalastat	MIGALASTAT	MIGALASTAT	True	False		125.0	MIGALASTAT HYDROCHLORIDE	MIGALASTAT	Migalastat	True	False		2002.0	Migalastat	MIGALASTAT HYDROCHLORIDE	MIGALASTAT 	True	False		RX
120		CHEBI:135925							396.0	LISDEXAMFETAMINE MESILATE	LISDEXAMFETAMINE	Lisdexamfetamine	True	False		1780.0	Lisdexamfetamine	LISDEXAMFETAMINE DIMESYLATE	LISDEXAMFETAMINE DIMESYLATE	True	False		RX
121		CHEBI:135928							701.0	DORIPENEM HYDRATE	DORIPENEM	Doripenem	True	False		136.0	Doripenem	DORIPENEM	DORIPENEM	True	False		DISCONTINUED
122	100.0	CHEBI:135929	Silodosin	SILODOSIN	SILODOSIN	True	False		841.0	SILODOSHIN	SILODOSHIN	Silodosin	True	False		2313.0	Silodosin	SILODOSIN	SILODOSIN	True	False		RX
123		CHEBI:135931														2418.0	Dexlansoprazole	DEXLANSOPRAZOLE	DEXLANSOPRAZOLE	True	False		RX
124		CHEBI:135934														1175.0	Selenium Sulfide	SELENIUM SULFIDE	SELENIUM SULFIDE	True	False		RX
125		CHEBI:135935							279.0	TAPENTADOL HYDROCHLORIDE	TAPENTADOL	Tapentadol	True	False									
126	415.0	CHEBI:135939	Lacosamide	LACOSAMIDE	LACOSAMIDE	True	False		950.0	LACOSAMIDE	LACOSAMIDE	Lacosamide	True	False		535.0	Lacosamide	LACOSAMIDE	LACOSAMIDE	True	False		RX
127	182.0	CHEBI:135947	Bazedoxifene	BAZEDOXIFENE	BAZEDOXIFENE	True	False		819.0	BAZEDOXIFENE ACETATE	BAZEDOXIFENE	Bazedoxifene	True	False		2677.0	Bazedoxifene	BAZEDOXIFENE ACETATE	BAZEDOXIFENE 	True	False		UNSURE
128	405.0	CHEBI:135948	Amifampridine	AMIFAMPRIDINE	AMIFAMPRIDINE	True	False																
129	15.0	CHEBI:135949	Ambrisentan	AMBRISENTAN	AMBRISENTAN	True	False		521.0	AMBRISENTAN	AMBRISENTAN	Ambrisentan	True	False		74.0	Ambrisentan	AMBRISENTAN	AMBRISENTAN	True	False		RX
130		CHEBI:135954							967.0	BILASTINE	BILASTINE	Bilastine	True	False									
131	419.0	CHEBI:135957	Voclosporin	VOCLOSPORIN	VOCLOSPORIN	True	False									1084.0	Voclosporin	VOCLOSPORIN	VOCLOSPORIN	True	False		RX
132	370.0	CHEBI:135961	Degarelix	DEGARELIX	DEGARELIX	True	False		753.0	DEGARELIX ACETATE	DEGARELIX	Degarelix	True	False									
133	582.0	CHEBI:135983	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		245.0	TERIPARATIDE	TERIPARATIDE	Teriparatide	True	False		180.0	Teriparatide	TERIPARATIDE ACETATE	TERIPARATIDE 	True	False		DISCONTINUED
134	582.0	CHEBI:135983	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		245.0	TERIPARATIDE	TERIPARATIDE	Teriparatide	True	False		1205.0	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		RX
135	582.0	CHEBI:135983	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		770.0	TERIPARATIDE  [TERIPARATIDE BIOSIMILAR 1]	TERIPARATIDE [TERIPARATIDE BIOSIMILAR 1]	Teriparatide	True	False		180.0	Teriparatide	TERIPARATIDE ACETATE	TERIPARATIDE 	True	False		DISCONTINUED
136	582.0	CHEBI:135983	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		770.0	TERIPARATIDE  [TERIPARATIDE BIOSIMILAR 1]	TERIPARATIDE [TERIPARATIDE BIOSIMILAR 1]	Teriparatide	True	False		1205.0	Teriparatide	TERIPARATIDE	TERIPARATIDE	True	False		RX
137		CHEBI:135990														356.0	Gepirone	GEPIRONE HYDROCHLORIDE	GEPIRONE 	True	False		DISCONTINUED
138	646.0	CHEBI:136007	methylnaltrexone	METHYLNALTREXONE BROMIDE	METHYLNALTREXONE 	True	False									2019.0	methylnaltrexone	METHYLNALTREXONE BROMIDE	METHYLNALTREXONE 	True	False		RX
139		CHEBI:136019							799.0	NALFURAFINE HYDROCHLORIDE	NALFURAFINE	Nalfurafine	True	False									
140	95.0	CHEBI:136034	Afamelanotide	AFAMELANOTIDE	AFAMELANOTIDE	True	False									2472.0	Afamelanotide	AFAMELANOTIDE	AFAMELANOTIDE	True	False		RX
141		CHEBI:136041							831.0	TOFOGLIFLOZIN HYDRATE	TOFOGLIFLOZIN	Tofogliflozin	True	False									
142		CHEBI:136043							620.0	ANAGLIPTIN	ANAGLIPTIN	Anagliptin	True	False									
143		CHEBI:136046							775.0	RIPASUDIL HYDROCHLORIDE HYDRATE	RIPASUDIL	Ripasudil	True	False									
144		CHEBI:136047							479.0	VANIPREVIR	VANIPREVIR	Vaniprevir	True	False									
145		CHEBI:136048							366.0	VONOPRAZAN FUMARATE	VONOPRAZAN	Vonoprazan	True	False		800.0	Vonoprazan	VONOPRAZAN FUMARATE	VONOPRAZAN 	True	False		RX
146		CHEBI:136048							570.0	ASPIRIN; VONOPRAZAN FUMARATE	ASPIRIN; VONOPRAZAN	Vonoprazan	True	True	['CHEBI:15365', 'CHEBI:136048']	800.0	Vonoprazan	VONOPRAZAN FUMARATE	VONOPRAZAN 	True	False		RX
147		CHEBI:136050							277.0	OZENOXACIN	OZENOXACIN	Ozenoxacin	True	False		2488.0	Ozenoxacin	OZENOXACIN	OZENOXACIN	True	False		RX
148	766.0	CHEBI:136051	Lusutrombopag	LUSUTROMBOPAG	LUSUTROMBOPAG	True	False		912.0	LUSUTROMBOPAG	LUSUTROMBOPAG	Lusutrombopag	True	False		157.0	Lusutrombopag	LUSUTROMBOPAG	LUSUTROMBOPAG	True	False		RX
149		CHEBI:138865														1934.0	Mavorixafor	MAVORIXAFOR	MAVORIXAFOR	True	False		RX
150	68.0	CHEBI:140376	Cefiderocol	CEFIDEROCOL	CEFIDEROCOL	True	False		464.0	CEFIDEROCOL TOSILATE SULFATE HYDRATE	CEFIDEROCOL TOSILATE	Cefiderocol	True	False									
151		CHEBI:140421														1004.0	Betrixaban	BETRIXABAN	BETRIXABAN	True	False		DISCONTINUED
152		CHEBI:140628														1059.0	Secnidazole	SECNIDAZOLE	SECNIDAZOLE	True	False		RX
153		CHEBI:140855														970.0	METHDILAZINE HYDROCHLORIDE	METHDILAZINE HYDROCHLORIDE	METHDILAZINE 	True	False		DISCONTINUED
154		CHEBI:141474														37.0	Malathion	MALATHION	MALATHION	True	False		RX
155		CHEBI:141517														2607.0	Tyloxapol	TYLOXAPOL	TYLOXAPOL	True	False		UNSURE
156	154.0	CHEBI:142406	omega-conotoxin MVIIA	ZICONOTIDE	ZICONOTIDE	True	False									1599.0	omega-conotoxin MVIIA	ZICONOTIDE ACETATE	ZICONOTIDE 	True	False		RX
157		CHEBI:142418							26.0	VIBEGRON	VIBEGRON	Vibegron	True	False		1591.0	Vibegron	VIBEGRON	VIBEGRON	True	False		RX
158	328.0	CHEBI:142432	Vericiguat	VERICIGUAT	VERICIGUAT	True	False		590.0	VERICIGUAT	VERICIGUAT	Vericiguat	True	False		1234.0	Vericiguat	VERICIGUAT	VERICIGUAT	True	False		RX
159	994.0	CHEBI:142773	Estetrol	ESTETROL	ESTETROL	True	False									2696.0	Estetrol	ESTETROL	ESTETROL	True	False		UNSURE
160	614.0	CHEBI:143117	Lorlatinib	LORLATINIB	LORLATINIB	True	False		1096.0	LORLATINIB	LORLATINIB	Lorlatinib	True	False		105.0	Lorlatinib	LORLATINIB	LORLATINIB	True	False		RX
161		CHEBI:144093														727.0	Bicalutamide	BICALUTAMIDE	BICALUTAMIDE	True	False		RX
162		CHEBI:144421														882.0	ferric citrate	FERRIC CITRATE	FERRIC 	True	False		RX
163	741.0	CHEBI:144551	Oxybutynin	OXYBUTYNIN	OXYBUTYNIN	True	False		66.0	OXYBUTYNIN HYDROCHLORIDE	OXYBUTYNIN	Oxybutynin	True	False		694.0	Oxybutynin	OXYBUTYNIN	OXYBUTYNIN	True	False		OTC
164	102.0	CHEBI:145371	Binimetinib	BINIMETINIB	BINIMETINIB	True	False		842.0	BINIMETINIB	BINIMETINIB	Binimetinib	True	False		1805.0	Binimetinib	BINIMETINIB	BINIMETINIB	True	False		RX
165	550.0	CHEBI:145372	Gilteritinib	GILTERITINIB	GILTERITINIB	True	False		504.0	GILTERITINIB FUMARATE	GILTERITINIB	Gilteritinib	True	False		129.0	Gilteritinib	GILTERITINIB FUMARATE	GILTERITINIB 	True	False		RX
166		CHEBI:145373														1635.0	Pexidartinib	PEXIDARTINIB HYDROCHLORIDE	PEXIDARTINIB 	True	False		RX
167		CHEBI:145374														566.0	Enasidenib	ENASIDENIB MESYLATE	ENASIDENIB 	True	False		RX
168	638.0	CHEBI:145428	Glasdegib	GLASDEGIB	GLASDEGIB	True	False																
169	322.0	CHEBI:145430	Ivosidenib	IVOSIDENIB	IVOSIDENIB	True	False									924.0	Ivosidenib	IVOSIDENIB	IVOSIDENIB	True	False		RX
170		CHEBI:145499							205.0	DONEPEZIL HYDROCHLORIDE	DONEPEZIL	Donepezil	True	False									
171		CHEBI:145499							606.0	DONEPEZIL	DONEPEZIL	Donepezil	True	False									
172		CHEBI:145536														1841.0	motixafortide	MOTIXAFORTIDE ACETATE	MOTIXAFORTIDE 	True	False		RX
173	232.0	CHEBI:145994	Remdesivir	REMDESIVIR	REMDESIVIR	True	False		1049.0	REMDESIVIR	REMDESIVIR	Remdesivir	True	False		1918.0	Remdesivir	REMDESIVIR	REMDESIVIR	True	False		RX
174		CHEBI:146129							426.0	INULIN	INULIN	Inulin	True	False		2228.0	Inulin	INULIN	INULIN	True	False		DISCONTINUED
